"density","qcloud","qrain","qvapor","theta","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,1.2896e+05,6000,0
0,0,0,0,0,0,0,0,1.2922e+05,6000,0
0,0,0,0,0,0,0,0,1.2947e+05,6000,0
0,0,0,0,0,0,0,0,1.2972e+05,6000,0
0,0,0,0,0,0,0,0,1.2997e+05,6000,0
0,0,0,0,0,0,0,0,1.3022e+05,6000,0
0,0,0,0,0,0,0,0,1.3047e+05,6000,0
0,0,0,0,0,0,0,0,1.3072e+05,6000,0
0,0,0,0,0,0,0,0,1.3097e+05,6000,0
0,0,0,0,0,0,0,0,1.3122e+05,6000,0
0,0,0,0,0,0,0,0,1.3147e+05,6000,0
0,0,0,0,0,0,0,0,1.3172e+05,6000,0
0,0,0,0,0,0,0,0,1.3197e+05,6000,0
0,0,0,0,0,0,0,0,1.3222e+05,6000,0
0,0,0,0,0,0,0,0,1.3247e+05,6000,0
0,0,0,0,0,0,0,0,1.3272e+05,6000,0
0,0,0,0,0,0,0,0,1.3297e+05,6000,0
0,0,0,0,0,0,0,0,1.3322e+05,6000,0
0,0,0,0,0,0,0,0,1.3347e+05,6000,0
0,0,0,0,0,0,0,0,1.3372e+05,6000,0
0,0,0,0,0,0,0,0,1.3397e+05,6000,0
0,0,0,0,0,0,0,0,1.3422e+05,6000,0
0,0,0,0,0,0,0,0,1.3447e+05,6000,0
